true_class,predicted_class,predicted_value
EVS Visit,EVS Visit,0.93
EVS Visit,Talking on the Phone,0.03
EVS Visit,Transfer To Bed,0.02
EVS Visit,Therapy,0.01
EVS Visit,Eating,0.0
EVS Visit,Watching TV,0.0
EVS Visit,Nurse Visit,0.0
EVS Visit,Sitting In Wheelchair,0.0
EVS Visit,Asleep-Trying to sleep,0.0
EVS Visit,Lying In Bed,0.0
EVS Visit,Doctor Visit,0.0
EVS Visit,Family,0.0
EVS Visit,EVS Visit,0.92
EVS Visit,Transfer To Bed,0.06
EVS Visit,Nurse Visit,0.01
EVS Visit,Talking on the Phone,0.0
EVS Visit,Therapy,0.0
EVS Visit,Eating,0.0
EVS Visit,Lying In Bed,0.0
EVS Visit,Watching TV,0.0
EVS Visit,Asleep-Trying to sleep,0.0
EVS Visit,Sitting In Wheelchair,0.0
EVS Visit,Doctor Visit,0.0
EVS Visit,Family,0.0
EVS Visit,EVS Visit,0.93
EVS Visit,Transfer To Bed,0.02
EVS Visit,Eating,0.02
EVS Visit,Talking on the Phone,0.01
EVS Visit,Therapy,0.01
EVS Visit,Watching TV,0.01
EVS Visit,Nurse Visit,0.0
EVS Visit,Asleep-Trying to sleep,0.0
EVS Visit,Lying In Bed,0.0
EVS Visit,Sitting In Wheelchair,0.0
EVS Visit,Family,0.0
EVS Visit,Doctor Visit,0.0
EVS Visit,EVS Visit,0.81
EVS Visit,Therapy,0.17
EVS Visit,Talking on the Phone,0.02
EVS Visit,Asleep-Trying to sleep,0.0
EVS Visit,Transfer To Bed,0.0
EVS Visit,Eating,0.0
EVS Visit,Watching TV,0.0
EVS Visit,Nurse Visit,0.0
EVS Visit,Lying In Bed,0.0
EVS Visit,Sitting In Wheelchair,0.0
EVS Visit,Family,0.0
EVS Visit,Doctor Visit,0.0
EVS Visit,EVS Visit,0.99
EVS Visit,Therapy,0.0
EVS Visit,Transfer To Bed,0.0
EVS Visit,Eating,0.0
EVS Visit,Talking on the Phone,0.0
EVS Visit,Watching TV,0.0
EVS Visit,Nurse Visit,0.0
EVS Visit,Asleep-Trying to sleep,0.0
EVS Visit,Lying In Bed,0.0
EVS Visit,Sitting In Wheelchair,0.0
EVS Visit,Doctor Visit,0.0
EVS Visit,Family,0.0
Sitting In Wheelchair,Sitting In Wheelchair,0.56
Sitting In Wheelchair,Transfer To Bed,0.44
Sitting In Wheelchair,Talking on the Phone,0.0
Sitting In Wheelchair,Eating,0.0
Sitting In Wheelchair,Therapy,0.0
Sitting In Wheelchair,Watching TV,0.0
Sitting In Wheelchair,Nurse Visit,0.0
Sitting In Wheelchair,Asleep-Trying to sleep,0.0
Sitting In Wheelchair,Lying In Bed,0.0
Sitting In Wheelchair,EVS Visit,0.0
Sitting In Wheelchair,Doctor Visit,0.0
Sitting In Wheelchair,Family,0.0
Sitting In Wheelchair,Transfer To Bed,0.53
Sitting In Wheelchair,Sitting In Wheelchair,0.47
Sitting In Wheelchair,Talking on the Phone,0.0
Sitting In Wheelchair,Eating,0.0
Sitting In Wheelchair,Therapy,0.0
Sitting In Wheelchair,Nurse Visit,0.0
Sitting In Wheelchair,Watching TV,0.0
Sitting In Wheelchair,Lying In Bed,0.0
Sitting In Wheelchair,Asleep-Trying to sleep,0.0
Sitting In Wheelchair,EVS Visit,0.0
Sitting In Wheelchair,Family,0.0
Sitting In Wheelchair,Doctor Visit,0.0
Sitting In Wheelchair,Sitting In Wheelchair,0.78
Sitting In Wheelchair,Transfer To Bed,0.22
Sitting In Wheelchair,Talking on the Phone,0.0
Sitting In Wheelchair,Eating,0.0
Sitting In Wheelchair,Therapy,0.0
Sitting In Wheelchair,Watching TV,0.0
Sitting In Wheelchair,Nurse Visit,0.0
Sitting In Wheelchair,Lying In Bed,0.0
Sitting In Wheelchair,Asleep-Trying to sleep,0.0
Sitting In Wheelchair,EVS Visit,0.0
Sitting In Wheelchair,Doctor Visit,0.0
Sitting In Wheelchair,Family,0.0
Sitting In Wheelchair,Sitting In Wheelchair,0.61
Sitting In Wheelchair,Transfer To Bed,0.39
Sitting In Wheelchair,Talking on the Phone,0.0
Sitting In Wheelchair,Eating,0.0
Sitting In Wheelchair,Therapy,0.0
Sitting In Wheelchair,Watching TV,0.0
Sitting In Wheelchair,Nurse Visit,0.0
Sitting In Wheelchair,Asleep-Trying to sleep,0.0
Sitting In Wheelchair,Lying In Bed,0.0
Sitting In Wheelchair,EVS Visit,0.0
Sitting In Wheelchair,Doctor Visit,0.0
Sitting In Wheelchair,Family,0.0
Sitting In Wheelchair,Sitting In Wheelchair,0.81
Sitting In Wheelchair,Transfer To Bed,0.19
Sitting In Wheelchair,Talking on the Phone,0.0
Sitting In Wheelchair,Eating,0.0
Sitting In Wheelchair,Therapy,0.0
Sitting In Wheelchair,Watching TV,0.0
Sitting In Wheelchair,Nurse Visit,0.0
Sitting In Wheelchair,Lying In Bed,0.0
Sitting In Wheelchair,Asleep-Trying to sleep,0.0
Sitting In Wheelchair,EVS Visit,0.0
Sitting In Wheelchair,Doctor Visit,0.0
Sitting In Wheelchair,Family,0.0
Sitting In Wheelchair,Transfer To Bed,0.74
Sitting In Wheelchair,Sitting In Wheelchair,0.26
Sitting In Wheelchair,Talking on the Phone,0.0
Sitting In Wheelchair,Eating,0.0
Sitting In Wheelchair,Therapy,0.0
Sitting In Wheelchair,Nurse Visit,0.0
Sitting In Wheelchair,Watching TV,0.0
Sitting In Wheelchair,Asleep-Trying to sleep,0.0
Sitting In Wheelchair,Lying In Bed,0.0
Sitting In Wheelchair,EVS Visit,0.0
Sitting In Wheelchair,Doctor Visit,0.0
Sitting In Wheelchair,Family,0.0
Sitting In Wheelchair,Sitting In Wheelchair,0.64
Sitting In Wheelchair,Transfer To Bed,0.36
Sitting In Wheelchair,Talking on the Phone,0.0
Sitting In Wheelchair,Eating,0.0
Sitting In Wheelchair,Therapy,0.0
Sitting In Wheelchair,Nurse Visit,0.0
Sitting In Wheelchair,Watching TV,0.0
Sitting In Wheelchair,Lying In Bed,0.0
Sitting In Wheelchair,Asleep-Trying to sleep,0.0
Sitting In Wheelchair,EVS Visit,0.0
Sitting In Wheelchair,Doctor Visit,0.0
Sitting In Wheelchair,Family,0.0
Sitting In Wheelchair,Transfer To Bed,0.89
Sitting In Wheelchair,Sitting In Wheelchair,0.11
Sitting In Wheelchair,Talking on the Phone,0.0
Sitting In Wheelchair,Eating,0.0
Sitting In Wheelchair,Therapy,0.0
Sitting In Wheelchair,Nurse Visit,0.0
Sitting In Wheelchair,Watching TV,0.0
Sitting In Wheelchair,Asleep-Trying to sleep,0.0
Sitting In Wheelchair,Lying In Bed,0.0
Sitting In Wheelchair,EVS Visit,0.0
Sitting In Wheelchair,Doctor Visit,0.0
Sitting In Wheelchair,Family,0.0
Sitting In Wheelchair,Transfer To Bed,0.78
Sitting In Wheelchair,Sitting In Wheelchair,0.22
Sitting In Wheelchair,Talking on the Phone,0.0
Sitting In Wheelchair,Eating,0.0
Sitting In Wheelchair,Therapy,0.0
Sitting In Wheelchair,Watching TV,0.0
Sitting In Wheelchair,Nurse Visit,0.0
Sitting In Wheelchair,Asleep-Trying to sleep,0.0
Sitting In Wheelchair,Lying In Bed,0.0
Sitting In Wheelchair,EVS Visit,0.0
Sitting In Wheelchair,Doctor Visit,0.0
Sitting In Wheelchair,Family,0.0
Sitting In Wheelchair,Sitting In Wheelchair,0.57
Sitting In Wheelchair,Transfer To Bed,0.43
Sitting In Wheelchair,Talking on the Phone,0.0
