iteration,epoch,accuracy,loss,val_accuracy,val_loss
1,1,0.3546,176.6481,0.1623,131.6410
1,2,0.5080,2.8663,0.4693,3.7775
1,3,0.5022,2.1922,0.5307,2.7212
1,4,0.5225,1.7506,0.5833,3.5908
1,5,0.5115,2.4480,0.5175,3.2164
1,6,0.5201,1.6938,0.5132,2.1174
1,7,0.5322,1.8402,0.4211,1.5095
1,8,0.4894,1.6077,0.4956,2.7165
1,9,0.4733,2.1689,0.3377,19.5544
1,10,0.4743,2.0525,0.3728,130.8977
1,11,0.4451,2.0304,0.3553,6.4859
1,12,0.4280,1.7857,0.4825,1.5185
1,13,0.4127,1.7539,0.3904,1.5919
1,14,0.4197,1.6573,0.3684,1.6633
1,15,0.4181,1.6775,0.3991,1.5199
2,1,0.3201,225.8444,0.3640,14.2735
2,2,0.4711,2.8166,0.5044,3.3463
2,3,0.4343,2.3411,0.4342,2.4443
2,4,0.4260,1.9665,0.5482,4.0159
2,5,0.4719,1.9797,0.4956,1.7236
2,6,0.4255,2.0663,0.5000,1.9791
2,7,0.4433,1.7714,0.5000,2.0067
2,8,0.4105,1.7639,0.5526,1.8286
2,9,0.4088,1.7823,0.5570,1.6785
2,10,0.4085,1.8233,0.4737,1.7336
2,11,0.4257,1.7100,0.4868,1.7500
2,12,0.4413,1.6514,0.5482,1.9127
2,13,0.4582,1.6451,0.4868,1.9452
2,14,0.4097,1.7207,0.4868,2.0082
2,15,0.4688,1.6615,0.6009,1.9338
3,1,0.3222,235.8530,0.3202,84.9546
3,2,0.4902,8.0108,0.4825,6.2642
3,3,0.4298,2.2357,0.3904,2.0719
3,4,0.3489,2.4450,0.3947,2.0032
3,5,0.3655,2.1073,0.3991,1.9540
3,6,0.3655,1.9970,0.3728,1.8727
3,7,0.3826,1.9974,0.3947,1.8168
3,8,0.3531,2.0082,0.3991,1.8490
3,9,0.3514,1.9981,0.4123,3.0691
3,10,0.3537,2.3123,0.3772,1.8521
3,11,0.4059,1.9454,0.5088,1.6734
3,12,0.4326,1.8643,0.3728,1.7515
3,13,0.3776,1.8756,0.3772,1.7422
3,14,0.3690,1.9610,0.3991,1.7484
3,15,0.3745,1.9292,0.3991,1.7598
